epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,3496.3,1.01596,0.48436,0.99484,0.64392,0.64011,0.65534,0.46075,1.12708,0.48267,1.06517,0.00035382,0.00035382,0.00035382
78,3542.18,1.012,0.47894,0.99452,0.63532,0.64239,0.6552,0.4611,1.13009,0.48409,1.06428,0.000339673,0.000339673,0.000339673
79,3588.21,1.00905,0.4796,0.99709,0.64731,0.63519,0.65475,0.46077,1.12798,0.48055,1.06478,0.000325526,0.000325526,0.000325526
80,3634.09,1.00664,0.47689,0.99159,0.66601,0.63121,0.65529,0.46292,1.12673,0.47984,1.06453,0.000311379,0.000311379,0.000311379
81,3679.68,1.00214,0.47815,0.99506,0.65845,0.63258,0.6545,0.46086,1.1267,0.48283,1.06485,0.000297232,0.000297232,0.000297232
82,3725.51,0.9988,0.47498,0.99145,0.65397,0.63271,0.6538,0.46105,1.1296,0.48541,1.06652,0.000283085,0.000283085,0.000283085
83,3771.49,1.00157,0.4726,0.99053,0.64363,0.63967,0.65433,0.46158,1.12823,0.48159,1.06609,0.000268938,0.000268938,0.000268938
84,3817.43,0.99847,0.46913,0.98973,0.63633,0.64254,0.65515,0.46309,1.12666,0.47872,1.06567,0.000254791,0.000254791,0.000254791
85,3863.52,1.0004,0.47186,0.98893,0.64741,0.63515,0.65459,0.46256,1.12507,0.48229,1.06517,0.000240644,0.000240644,0.000240644
86,3909.17,0.99617,0.46896,0.99227,0.63029,0.64785,0.6547,0.46187,1.12589,0.47883,1.06705,0.000226497,0.000226497,0.000226497
87,3954.59,0.98943,0.46335,0.98732,0.64141,0.62796,0.65423,0.46091,1.1261,0.48068,1.06748,0.000212349,0.000212349,0.000212349
88,3999.77,0.98817,0.46536,0.98686,0.63756,0.63128,0.65367,0.46132,1.12718,0.48194,1.06596,0.000198202,0.000198202,0.000198202
89,4045.12,0.98487,0.45845,0.98676,0.64534,0.6273,0.65362,0.4615,1.12659,0.48386,1.06602,0.000184055,0.000184055,0.000184055
90,4090.43,0.98738,0.45838,0.98324,0.6414,0.62879,0.65372,0.46158,1.12801,0.48368,1.06583,0.000169908,0.000169908,0.000169908
91,4136.97,0.97216,0.41277,0.98758,0.64187,0.62668,0.65223,0.45922,1.13285,0.48539,1.06862,0.000155761,0.000155761,0.000155761
92,4182.08,0.96216,0.40391,0.98334,0.64048,0.62729,0.65182,0.45923,1.13188,0.48708,1.069,0.000141614,0.000141614,0.000141614
93,4226.44,0.95451,0.39905,0.98242,0.6437,0.62566,0.65174,0.46021,1.13224,0.4889,1.06914,0.000127467,0.000127467,0.000127467
94,4271.06,0.95649,0.40119,0.98008,0.63523,0.62353,0.65211,0.46057,1.13127,0.48656,1.06857,0.00011332,0.00011332,0.00011332
95,4315.9,0.94738,0.39505,0.98107,0.63559,0.62347,0.65198,0.46048,1.13247,0.48699,1.06901,9.91726e-05,9.91726e-05,9.91726e-05
96,4362.17,0.94662,0.39596,0.97553,0.63016,0.62805,0.6523,0.46079,1.13232,0.48729,1.06929,8.50255e-05,8.50255e-05,8.50255e-05
97,4407.65,0.94184,0.39089,0.97439,0.64168,0.62802,0.65185,0.46057,1.13205,0.48749,1.06968,7.08784e-05,7.08784e-05,7.08784e-05
98,4453.27,0.93834,0.39103,0.97285,0.64357,0.62647,0.65178,0.46074,1.13272,0.48876,1.07026,5.67313e-05,5.67313e-05,5.67313e-05
99,4498.32,0.93572,0.39152,0.97029,0.64268,0.62733,0.65183,0.4604,1.13361,0.49034,1.07085,4.25842e-05,4.25842e-05,4.25842e-05
100,4543.47,0.93466,0.3858,0.97217,0.62525,0.63878,0.6516,0.46053,1.13366,0.49051,1.07134,2.84371e-05,2.84371e-05,2.84371e-05
